Date,Close Price,WAP,No.of Shares,No. of Trades,% Deli. Qty to Traded Qty,Change,%Change,Volatilty ,Annualized volatility,moving_average
25-Apr-16,516.6,515.9259826,1959,228,84.12,0.006134969,0.613496933,,,
26-Apr-16,522.55,520.0175,2000,190,69.55,0.011517615,1.151761518,,,
27-Apr-16,529.3,525.8944193,1989,182,93.41,0.012917424,1.291742417,,,
28-Apr-16,536.3,533.5427733,6815,301,89.01,0.013225014,1.322501417,,,
29-Apr-16,523.05,521.997489,17523,1050,25.64,-0.024706321,-2.470632109,,,
02-May-16,515.7,517.5693819,4886,346,56.43,-0.014052194,-1.405219386,,,
03-May-16,507.4,509.235628,8280,413,67.15,-0.016094629,-1.609462866,,,
04-May-16,505.9,506.3304047,3756,378,63.31,-0.002956248,-0.295624754,,,
05-May-16,486.85,488.4161899,3496,207,68.91,-0.037655663,-3.765566317,,,
06-May-16,487.35,487.8760965,912,158,72.7,0.00102701,0.102701037,,,
09-May-16,490.2,488.2352241,2521,193,66.8,0.005847953,0.584795322,,,
10-May-16,487.4,489.5292937,4984,61,87.72,-0.005711954,-0.57119543,,,
11-May-16,489.95,489.3664869,2966,512,86.41,0.005231842,0.523184243,,,
12-May-16,490.05,492.4357743,833,61,62.18,0.000204102,0.020410246,,,
13-May-16,488.5,490.4483653,3854,36,98.6,-0.003162943,-0.316294256,,,
16-May-16,488.35,490.8184644,5470,141,84.39,-0.000307062,-0.030706244,0.018524309,-0.002896821,497.155
17-May-16,508.95,516.5305949,63393,2388,22.95,0.042182861,4.218286065,0.019072347,0.400181754,496.9727778
18-May-16,494.2,511.3276268,86684,4099,27.5,-0.028981236,-2.898123588,0.019295485,-0.415958987,671.1660194
19-May-16,485.25,492.2838422,15949,1300,33.58,-0.018110077,-1.811007689,0.019386225,,
20-May-16,476.65,481.2267709,5887,481,68.59,-0.017722823,-1.772282329,0.019469805,,
23-May-16,468.9,471.5706956,3508,368,45.78,-0.01625931,-1.625930977,0.019537109,,
