Date,Close Price,WAP,No.of Shares,No. of Trades,% Deli. Qty to Traded Qty,Change,%Change,Volatilty ,Annualized volatility
16-Mar-16,364.8,366.1292835,642,45,87.54,-0.010040706,-1.004070556,,
17-Mar-16,364.8,365.0394366,710,29,81.55,0,0,,
18-Mar-16,365,369.6142805,2717,77,50.46,0.000548246,0.054824561,,
21-Mar-16,366.9,367.2291667,1632,81,53.98,0.005205479,0.520547945,,
22-Mar-16,365,366.5784615,325,23,98.77,-0.005178523,-0.517852276,,
23-Mar-16,366.5,365.0956284,1830,75,54.92,0.004109589,0.410958904,,
28-Mar-16,360.4,362.5805627,391,40,53.71,-0.016643929,-1.664392906,,
29-Mar-16,358.3,359.918552,442,27,87.56,-0.005826859,-0.582685905,,
30-Mar-16,364.5,369.87061,541,44,63.22,0.017303935,1.730393525,,
31-Mar-16,362.6,364.6803279,244,16,74.18,-0.00521262,-0.521262003,,
01-Apr-16,370.1,369.2580645,279,21,65.23,0.020683949,2.068394926,,
04-Apr-16,377.3,374.8337875,1101,18,2.54,0.019454202,1.945420157,,
05-Apr-16,376.1,376.0285714,280,29,88.21,-0.003180493,-0.318049298,,
06-Apr-16,374.5,375.6780822,438,22,82.65,-0.004254188,-0.425418772,,
07-Apr-16,372.5,373.9484536,97,13,67.01,-0.005340454,-0.534045394,,
08-Apr-16,376.5,379.5348226,761,54,41,0.010738255,1.073825503,,
11-Apr-16,374.7,376.9701493,201,14,80.1,-0.004780876,-0.478087649,,
12-Apr-16,376.1,376.4413793,145,14,49.66,0.003736322,0.373632239,,
13-Apr-16,389.5,380.9038171,5947,39,1.77,0.035628822,3.562882212,,
18-Apr-16,386.3,385.5660848,401,13,49.88,-0.008215661,-0.82156611,,
20-Apr-16,385,381.572327,159,9,67.3,-0.00336526,-0.336526016,,
21-Apr-16,386.8,389.2348387,775,31,88.13,0.004675325,0.467532468,,
22-Apr-16,396.8,396.303125,320,32,83.75,0.025853154,2.585315408,,
25-Apr-16,395.5,397.628,250,21,58.8,-0.00327621,-0.327620968,,
26-Apr-16,389.3,389.158562,5758,372,21.43,-0.015676359,-1.567635904,,
27-Apr-16,391.8,391.2470277,4542,56,5.31,0.006421783,0.642178269,,
28-Apr-16,393,391.458445,373,28,78.55,0.003062787,0.306278714,,
29-Apr-16,395,389.8092334,1148,61,55.92,0.005089059,0.508905852,,
02-May-16,389,390.0321543,311,22,81.99,-0.015189873,-1.518987342,,
03-May-16,390,390.9735974,303,16,84.16,0.002570694,0.257069409,,
04-May-16,382.1,382.3151775,1634,62,63.34,-0.02025641,-2.025641026,,
05-May-16,381,379.3555046,436,17,76.61,-0.002878828,-0.287882753,,
06-May-16,381,380.5930233,172,15,76.16,0,0,,
09-May-16,380.6,381.4036364,550,30,92.73,-0.001049869,-0.104986877,,
10-May-16,380.2,380.5037594,133,10,79.7,-0.001050972,-0.105097215,,
11-May-16,377.1,380.1479675,615,18,96.42,-0.008153603,-0.815360337,,
12-May-16,377,377.8060606,165,19,83.03,-0.000265182,-0.026518165,,
13-May-16,385,382.6,20,7,55,0.021220159,2.122015915,,
16-May-16,378.4,377.0102389,293,30,87.37,-0.017142857,-1.714285714,0.014348831,-0.161725391
17-May-16,426.7,417.298951,20020,1218,22.41,0.127642706,12.76427061,0.019775857,1.210925034
18-May-16,467,465.8306356,50660,2892,17.9,0.094445746,9.444574643,0.022150281,1.355551474
19-May-16,445.8,449.2203619,5913,477,23.54,-0.045396146,-4.539614561,0.022693356,
20-May-16,423.2,438.1162356,3209,312,32.6,-0.050695379,-5.069537909,0.023330925,
23-May-16,419.15,418.8032726,2689,164,46.08,-0.009569943,-0.956994329,0.023345267,
24-May-16,412.75,414.261976,668,70,51.8,-0.015268997,-1.526899678,0.023400318,
25-May-16,414.05,415.0214133,934,73,60.81,0.003149606,0.31496063,0.023360422,
26-May-16,418.6,416.0745342,161,18,80.75,0.010989011,1.098901099,0.023385737,
27-May-16,425.7,426.1001154,3466,206,33.99,0.0169613,1.696129957,0.023417636,
30-May-16,448.35,448.1660079,3036,227,53.43,0.053206483,5.320648344,0.023996374,
31-May-16,451.65,447.876494,1506,90,32.74,0.007360321,0.736032118,0.0239399,
01-Jun-16,439.05,444.0849257,471,51,51.38,-0.027897708,-2.78977084,0.024143069,
02-Jun-16,441,440.0704225,21726,154,99,0.004441408,0.444140758,0.023846518,
03-Jun-16,440.8,443.4478022,1820,51,39.18,-0.000453515,-0.045351474,0.023829756,
06-Jun-16,456.8,453.2928091,1933,172,26.28,0.036297641,3.629764065,0.024023212,
07-Jun-16,457.2,461.4429499,2156,213,49.07,0.000875657,0.087565674,0.023901766,
08-Jun-16,462.3,465.5676906,879,126,51.08,0.011154856,1.115485564,0.023920814,
09-Jun-16,462,462.1037464,694,39,25.36,-0.000648929,-0.064892927,0.023583065,
10-Jun-16,450.75,457.6722391,1974,102,75.84,-0.024350649,-2.435064935,0.023729675,
13-Jun-16,453.45,450.5628676,2720,154,52.02,0.005990017,0.599001664,0.023647753,
14-Jun-16,456.6,458.7086891,1991,52,48.92,0.006946742,0.694674165,0.023561418,
15-Jun-16,547.9,528.5372649,172025,6761,8.51,0.199956198,19.9956198,0.031498109,
16-Jun-16,657.45,644.570838,357280,10061,11.36,0.199945245,19.99452455,0.037657233,
17-Jun-16,695.15,704.537853,205928,9960,10.87,0.057342764,5.734276371,0.038034607,
20-Jun-16,670.4,674.9097167,62171,4749,11.4,-0.035603827,-3.560382651,0.038304871,
21-Jun-16,665.15,673.5132968,36287,3035,13.5,-0.007831146,-0.783114558,0.038172373,
22-Jun-16,613.9,630.3385815,45286,3136,14.91,-0.077050289,-7.705028941,0.039183312,
23-Jun-16,610.9,605.8803444,216722,9471,6.28,-0.004886789,-0.488678938,0.039193428,
24-Jun-16,635.95,611.7087041,99356,4778,17.16,0.041005074,4.100507448,0.039301093,
27-Jun-16,646.55,643.9690188,55453,4442,12.68,0.016667977,1.666797704,0.039309835,
28-Jun-16,680.15,665.9830494,35456,2295,16.71,0.051968139,5.196813858,0.039600475,
29-Jun-16,687.2,690.4106776,38473,2446,15.51,0.010365361,1.036536058,0.0394425,
30-Jun-16,684.5,686.8099571,22637,1119,8.99,-0.003928987,-0.392898719,0.039460651,
01-Jul-16,665.7,674.3647134,10973,867,29.49,-0.027465303,-2.746530314,0.039631733,
04-Jul-16,675.95,678.5738862,13602,1105,15.7,0.015397326,1.539732612,0.039586773,
05-Jul-16,670.9,673.654358,8341,718,26.69,-0.007470967,-0.747096679,0.039459685,
07-Jul-16,656.95,667.1370228,5999,399,28.25,-0.020792965,-2.079296467,0.039483997,
08-Jul-16,690.05,712.1997735,197754,11177,8.06,0.050384352,5.038435193,0.039714151,
11-Jul-16,692.8,699.5124391,34890,1911,19.93,0.003985218,0.398521846,0.039704748,
12-Jul-16,687.3,698.3885906,29239,1890,15.64,-0.007938799,-0.793879908,0.039669878,
13-Jul-16,675,681.4597971,14489,856,14.78,-0.017896115,-1.789611523,0.039664591,
14-Jul-16,702.85,691.2914149,32603,1846,18.59,0.041259259,4.125925926,0.039805098,
15-Jul-16,689.45,696.0509504,24200,1451,21.92,-0.019065234,-1.90652344,0.039899795,
18-Jul-16,682.1,703.3143011,55660,3641,14.84,-0.010660672,-1.066067155,0.039937101,
19-Jul-16,684.55,685.3718868,16462,1239,8.3,0.003591849,0.35918487,0.039832798,
20-Jul-16,682.45,686.2174694,8907,649,31.19,-0.003067709,-0.306770871,0.039833968,
21-Jul-16,663.6,674.3447795,10047,710,36.91,-0.027621071,-2.762107114,0.03999716,
22-Jul-16,650.1,656.7549536,12920,1137,28.12,-0.02034358,-2.034358047,0.040060822,
25-Jul-16,658.2,661.0667255,18134,1077,11.47,0.012459622,1.24596216,0.039972479,
26-Jul-16,644.1,657.9992857,26601,1363,9.88,-0.02142206,-2.142206016,0.04008319,
27-Jul-16,637.85,636.887818,15252,924,14.11,-0.009703462,-0.97034622,0.040081573,
28-Jul-16,624.7,635.7226186,10372,815,17.26,-0.020616132,-2.061613232,0.04018214,
29-Jul-16,618.55,623.9803583,7535,562,14.29,-0.009844725,-0.984472547,0.040215613,
01-Aug-16,600.6,611.1326007,5460,458,27.16,-0.029019481,-2.901948104,0.040393178,
02-Aug-16,587.65,593.3209647,4312,282,33.14,-0.021561772,-2.156177156,0.040483323,
03-Aug-16,582.55,585.7540714,5465,375,26.35,-0.008678635,-0.867863524,0.040513217,
04-Aug-16,626.3,616.9234594,36203,2104,15.67,0.07510085,7.510084971,0.041094201,
05-Aug-16,626,631.4866606,19716,1423,15.1,-0.000479004,-0.047900367,0.041079132,
08-Aug-16,626.7,630.7811002,7926,640,10.31,0.001118211,0.111821086,0.041069116,
09-Aug-16,627,628.9584835,6383,668,21.01,0.000478698,0.047869794,0.041054496,
10-Aug-16,609.75,616.0751566,5269,342,33.23,-0.027511962,-2.751196172,0.041188888,
11-Aug-16,611,611.6463918,2910,275,34.33,0.002050021,0.20500205,0.041167543,
12-Aug-16,628.5,633.9635505,28999,1868,10.34,0.028641571,2.864157119,0.041223209,
16-Aug-16,616.8,622.0523889,2386,254,48.28,-0.018615752,-1.861575179,0.041294101,
17-Aug-16,609.15,612.5986938,1378,141,56.89,-0.012402724,-1.240272374,0.041323705,
18-Aug-16,621.7,623.5869841,9450,499,27.4,0.020602479,2.060247886,0.041348891,
19-Aug-16,546.55,557.7814372,151238,6000,21.53,-0.120878237,-12.08782371,0.043483071,
22-Aug-16,536.2,542.5584806,16296,824,50.58,-0.018936968,-1.893696826,0.043557704,
23-Aug-16,530.9,531.6182869,5884,327,55.86,-0.009884372,-0.98843715,0.043459644,
24-Aug-16,534.85,535.6048459,10153,485,35.42,0.007440196,0.744019589,0.043439814,
25-Aug-16,531.6,535.1491372,7302,302,46.12,-0.00607647,-0.607647004,0.043446373,
26-Aug-16,525.05,525.806249,6369,298,34.84,-0.012321294,-1.232129421,0.043482991,
29-Aug-16,526.5,523.179195,4124,193,70.37,0.002761642,0.276164175,0.043421906,
30-Aug-16,535.65,533.0685471,6098,307,43.29,0.017378917,1.737891738,0.043437433,
31-Aug-16,535.3,536.214554,2130,146,37.32,-0.000653412,-0.065341174,0.043388106,
01-Sep-16,528.5,533.5525229,4360,143,61.56,-0.012703157,-1.270315711,0.043425639,
02-Sep-16,533.65,532.5344765,2741,101,62.93,0.00974456,0.974456008,0.043429342,
06-Sep-16,538.65,538.751142,9194,222,15.27,0.009369437,0.93694369,0.043432569,
07-Sep-16,554.9,552.9751749,8862,457,45.51,0.030168013,3.016801262,0.043466529,
08-Sep-16,555.25,557.38494,4502,138,74.26,0.000630744,0.063074428,0.043468187,
09-Sep-16,550.4,550.4631866,2567,85,66.54,-0.008734804,-0.873480414,0.043409655,
12-Sep-16,529.2,533.5442636,2519,176,61.65,-0.038517442,-3.851744186,0.043646783,
14-Sep-16,536.95,534.5331412,1388,93,40.99,0.014644747,1.464474679,0.043656892,
15-Sep-16,530.45,531.9881579,760,69,62.37,-0.01210541,-1.210541019,0.043689307,
16-Sep-16,528.7,536.8929539,1476,178,34.21,-0.003299086,-0.329908568,0.043693278,
19-Sep-16,531.75,531.8910095,1991,99,57.81,0.005768867,0.576886703,0.043672003,
20-Sep-16,530.2,530.898431,1211,111,44.67,-0.002914904,-0.291490362,0.043676371,
21-Sep-16,526.4,529.629397,1592,147,54.96,-0.007167107,-0.716710675,0.043658229,
22-Sep-16,533.8,533.5735294,1632,155,56.19,0.014057751,1.405775076,0.043608426,
23-Sep-16,528.95,531.2642276,492,38,62.6,-0.0090858,-0.908579993,0.041592054,
26-Sep-16,522.1,534.0098197,6212,400,44.08,-0.012950184,-1.295018433,0.040457894,
27-Sep-16,523.5,524.6319444,1728,138,42.36,0.002681479,0.268147864,0.04013731,
28-Sep-16,534.25,530.8064404,2888,189,45.26,0.020534862,2.053486151,0.039771852,
29-Sep-16,514.9,518.2965493,11418,361,75.68,-0.036218999,-3.62189986,0.039970119,
30-Sep-16,525.5,524.9617132,1541,102,60.61,0.020586522,2.058652165,0.039963977,
03-Oct-16,536.2,535.0489297,327,60,75.54,0.02036156,2.036156042,0.04000407,
04-Oct-16,546.7,541.7422998,1948,123,67.35,0.019582245,1.958224543,0.04003233,
05-Oct-16,548.65,551.2271224,2721,91,71.78,0.003566856,0.356685568,0.040007278,
06-Oct-16,542.5,546.690064,6411,81,90.98,-0.011209332,-1.1209332,0.039681032,
07-Oct-16,545.7,544.4195362,1423,63,61.56,0.005898618,0.589861751,0.039679458,
10-Oct-16,541.15,542.2658228,158,22,48.73,-0.008337915,-0.833791461,0.039561145,
13-Oct-16,525.85,528.6044499,1618,132,33.93,-0.028273122,-2.827312205,0.039700106,
14-Oct-16,533.7,532.7523585,1272,133,50.39,0.014928211,1.492821147,0.039719635,
17-Oct-16,536.1,537.2583454,2067,149,65.22,0.004496908,0.449690838,0.039558373,
18-Oct-16,544.1,540.495693,3831,85,41.82,0.014922589,1.492258907,0.039579715,
19-Oct-16,543,544.1602602,1691,129,35.42,-0.002021687,-0.202168719,0.039572326,
20-Oct-16,553,549.8038585,2488,80,79.7,0.018416206,1.841620626,0.039606458,
21-Oct-16,549.5,548.7222715,1127,59,56.97,-0.006329114,-0.632911392,0.039512267,
24-Oct-16,557,560.177141,6317,168,22.18,0.013648772,1.364877161,0.039527287,
25-Oct-16,554.95,556.7774421,993,100,40.28,-0.003680431,-0.368043088,0.039531409,
26-Oct-16,556.25,553.396764,8529,418,22.15,0.002342553,0.234255338,0.033415404,
27-Oct-16,547.55,546.1982507,1029,54,61.32,-0.015640449,-1.564044944,0.025740628,
28-Oct-16,546.75,547.447205,483,22,22.15,-0.001461054,-0.146105379,0.024949917,
30-Oct-16,547.65,547.8404803,583,70,52.83,0.001646091,0.164609053,0.024697418,
01-Nov-16,553,551.0827423,1269,66,78.57,0.009769013,0.976901306,0.024720342,
02-Nov-16,534.25,537.785738,6030,93,9.45,-0.033905967,-3.390596745,0.02362601,
03-Nov-16,523.4,534.5237013,12763,106,11.36,-0.020308844,-2.030884417,0.023709177,
04-Nov-16,518,519.0951351,5550,62,6.7,-0.010317157,-1.031715705,0.023285119,
07-Nov-16,541.85,534.0257913,2559,169,38.92,0.046042471,4.604247104,0.023756563,
08-Nov-16,540.75,534.3445009,15939,88,2.28,-0.002030082,-0.203008213,0.023049374,
09-Nov-16,555.95,535.0510597,2076,246,49.9,0.028109108,2.810910772,0.023236204,
10-Nov-16,597.9,592.1874811,9905,612,33.08,0.075456426,7.545642594,0.024646358,
11-Nov-16,581.5,595.050782,5435,431,20.86,-0.027429336,-2.742933601,0.024645923,
15-Nov-16,590.55,588.9277719,3752,280,38.3,0.015563199,1.556319862,0.024647199,
16-Nov-16,587.4,590.4613597,1721,110,59.09,-0.005334011,-0.533401067,0.024642074,
17-Nov-16,591,592.5083089,1023,129,26.2,0.006128703,0.612870276,0.024563799,
18-Nov-16,584.6,587.8410807,2517,170,57.53,-0.010829103,-1.082910321,0.023961516,
21-Nov-16,551.25,562.1702586,1392,150,53.38,-0.057047554,-5.704755388,0.024663682,
22-Nov-16,552.6,547.0417495,503,90,40.95,0.00244898,0.244897959,0.024661079,
23-Nov-16,551.4,550.5351171,299,54,58.53,-0.002171553,-0.217155266,0.024603195,
24-Nov-16,559.7,558.3993753,2241,42,7.01,0.015052593,1.50525934,0.024234038,
25-Nov-16,559.9,561.0089485,447,73,25.06,0.000357334,0.035733429,0.024168353,
28-Nov-16,549.35,551.8841482,13008,124,2.9,-0.01884265,-1.884265047,0.024217021,
29-Nov-16,546.65,547.2195122,82,14,85.37,-0.004914899,-0.491489943,0.02421095,
30-Nov-16,557.7,556.0525701,856,80,39.84,0.020214031,2.021403092,0.024327292,
01-Dec-16,551.55,552.1655629,151,37,56.29,-0.011027434,-1.10274341,0.024191663,
02-Dec-16,549.8,550.9168798,782,107,29.16,-0.003172876,-0.317287644,0.024110282,
05-Dec-16,552.4,552.0147059,68,14,82.35,0.004728992,0.472899236,0.024072992,
06-Dec-16,563.6,561.7228637,433,37,31.87,0.020275163,2.027516293,0.024090073,
07-Dec-16,549.5,563.0103905,15110,125,18.41,-0.025017743,-2.501774308,0.024205864,
08-Dec-16,560.35,560.766822,33052,145,88.49,0.019745223,1.974522293,0.024219449,
09-Dec-16,569.2,569.0138289,1157,112,56.96,0.0157937,1.579370037,0.024264593,
12-Dec-16,560.3,572.4926052,6153,43,1.4,-0.01563598,-1.563598032,0.024127788,
13-Dec-16,571.85,565.2436765,5614,77,5.93,0.020613957,2.061395681,0.02412335,
14-Dec-16,562.65,562.3025078,638,48,45.92,-0.016088135,-1.6088135,0.024166341,
15-Dec-16,565.85,565.2770449,379,62,22.43,0.005687372,0.568737226,0.022792965,
16-Dec-16,566,564.5531915,94,21,63.83,0.000265088,0.026508792,0.022793249,
19-Dec-16,562,563.3601695,236,7,97.03,-0.007067138,-0.706713781,0.022801655,
20-Dec-16,545.7,551.5783784,555,70,69.01,-0.029003559,-2.900355872,0.022993859,
21-Dec-16,548.75,549.9095745,564,30,65.43,0.005589152,0.558915155,0.022832063,
22-Dec-16,538.75,544.7138033,4738,80,6.63,-0.018223235,-1.822323462,0.022903118,
23-Dec-16,543.85,538.0671963,3021,13,0.17,0.009466357,0.946635731,0.022709075,
26-Dec-16,525.1,528.1779359,281,36,69.4,-0.034476418,-3.447641813,0.022907373,
27-Dec-16,534.6,531.2025862,232,35,75.86,0.018091792,1.809179204,0.022971036,
28-Dec-16,529.7,535.7766486,8856,67,2.95,-0.009165731,-0.916573139,0.022866477,
29-Dec-16,526.75,526.8789238,446,58,78.25,-0.00556919,-0.556919011,0.018960685,
30-Dec-16,536.2,536.1669565,575,68,54.61,0.017940199,1.794019934,0.018950334,
02-Jan-17,528.7,525.3777174,368,63,76.09,-0.013987318,-1.398731816,0.018980056,
03-Jan-17,520.45,522.2335025,788,87,77.28,-0.015604312,-1.560431246,0.019036313,
04-Jan-17,518.05,521,479,35,69.1,-0.004611394,-0.461139399,0.019031744,
05-Jan-17,519.75,524.430303,330,52,52.42,0.003281537,0.328153653,0.018989812,
06-Jan-17,527.4,524.4440553,11136,217,11.37,0.014718615,1.471861472,0.019051312,
09-Jan-17,522.05,523.6527197,239,36,85.36,-0.010144103,-1.014410315,0.018992549,
10-Jan-17,522.9,522.8320611,262,69,41.6,0.001628197,0.162819653,0.018993348,
11-Jan-17,534.05,531.4742823,1672,48,31.34,0.021323389,2.132338879,0.019078751,
12-Jan-17,532,533.9588119,6094,22,1.1,-0.003838592,-0.383859189,0.019056631,
13-Jan-17,535.3,531.4965347,6060,38,0.35,0.006203008,0.620300752,0.019042163,
16-Jan-17,537.05,534.5863223,7472,116,2.34,0.003269195,0.326919484,0.018771182,
17-Jan-17,538.55,539.628854,1719,86,47.12,0.002793036,0.279303603,0.01877366,
18-Jan-17,543.7,546.1995298,6380,54,2.6,0.009562715,0.95627147,0.018778981,
19-Jan-17,543.9,544,92,42,26.09,0.00036785,0.036784992,0.018318503,
20-Jan-17,529.85,534.0523256,172,63,54.07,-0.025831954,-2.58319544,0.018464543,
23-Jan-17,533.9,531.0246377,690,46,80.29,0.007643673,0.764367274,0.018435834,
24-Jan-17,532.55,534.7104492,4096,50,1.17,-0.002528563,-0.25285634,0.018434334,
25-Jan-17,541.8,538.0451613,155,78,23.87,0.017369261,1.73692611,0.018514643,
27-Jan-17,551.6,552.1645181,1629,128,71.15,0.018087855,1.80878553,0.018605803,
30-Jan-17,552.25,552.0463576,151,37,50.99,0.00117839,0.117839014,0.018587157,
31-Jan-17,543.75,545.3907563,476,56,56.09,-0.01539158,-1.53915799,0.018608938,
01-Feb-17,559.45,552.5129959,2193,208,45.46,0.028873563,2.887356322,0.018823335,
02-Feb-17,568.35,569.4025016,3118,175,20.72,0.015908482,1.590848154,0.01883226,
03-Feb-17,575.75,572.3015464,388,66,48.45,0.013020146,1.302014604,0.018873786,
06-Feb-17,573,579.4411765,918,202,34.31,-0.004776379,-0.477637864,0.018770233,
07-Feb-17,573.3,575.0118483,422,87,60.43,0.00052356,0.052356021,0.018342388,
08-Feb-17,574.45,574.1422475,4921,122,10.75,0.002005931,0.200593058,0.018226598,
09-Feb-17,572,569.5061392,733,127,18.55,-0.004264949,-0.426494908,0.018118465,
10-Feb-17,573.4,579.3238512,1371,130,12.76,0.002447552,0.244755245,0.018008265,
13-Feb-17,563.35,567.8107931,4577,115,10.73,-0.017527032,-1.752703174,0.018108577,
14-Feb-17,564.3,563.6489872,3752,127,11.83,0.001686341,0.168634064,0.018065697,
15-Feb-17,561.65,561.0276016,2681,86,14.1,-0.004696084,-0.469608364,0.018065315,
16-Feb-17,587.8,590.829561,44667,2492,16.39,0.046559245,4.655924508,0.018687165,
17-Feb-17,577.3,579.8378764,5613,398,38.21,-0.017863219,-1.786321878,0.018533163,
20-Feb-17,578.75,577.8279896,2308,150,62.13,0.002511692,0.251169236,0.018475429,
21-Feb-17,577.65,576.7724719,712,70,49.16,-0.001900648,-0.190064795,0.018474424,
22-Feb-17,577.25,581.2119592,2057,209,47.59,-0.000692461,-0.069246083,0.018414816,
23-Feb-17,579.2,579.8820961,229,29,68.56,0.003378086,0.337808575,0.018414204,
27-Feb-17,580.05,581.2723404,1410,86,64.75,0.001467541,0.146754144,0.018318304,
28-Feb-17,582.65,583.0835799,1352,80,73.89,0.004482372,0.448237221,0.018306995,
01-Mar-17,594.05,588.617171,1421,295,48.06,0.019565777,1.956577705,0.018364755,
02-Mar-17,580.55,586.1316431,2051,150,71.04,-0.02272536,-2.272535982,0.018528833,
03-Mar-17,577.85,577.7931034,290,51,63.1,-0.004650762,-0.465076221,0.01853651,
06-Mar-17,591.65,589.3841101,3197,167,74.38,0.02388163,2.388163018,0.018616332,
07-Mar-17,584.75,585.5154004,974,118,68.17,-0.0116623,-1.166230035,0.018663258,
08-Mar-17,587.15,585.5970048,1469,98,88.9,0.004104318,0.410431808,0.018666154,
09-Mar-17,595.45,594.3697105,3143,144,86.86,0.014136081,1.413608107,0.018695306,
10-Mar-17,592.6,589.6495177,1866,153,56.54,-0.004786296,-0.478629608,0.018328636,
14-Mar-17,598.3,598.6902484,10347,144,93.22,0.00961863,0.961862977,0.018201213,
15-Mar-17,606.45,607.4523305,2832,229,44.74,0.013621929,1.36219288,0.018198991,
