Date,Close Price,WAP,No.of Shares,No. of Trades,Deliverable Quantity,Change,%Change,VOLATILITY,ANNUALIZED VOLATILITY,Notes,Moving average,Count
10-Feb-16,158.95,161.7414306,3674507,31781,1036655,-0.048203593,-4.820359281,,,,,
11-Feb-16,154.2,159.3619563,9834525,79190,1513740,-0.029883611,-2.98836112,,,,,
12-Feb-16,154.95,152.3394511,5166258,44179,1003843,0.004863813,0.486381323,,,,,
15-Feb-16,167.25,165.0973561,4511775,37935,887694,0.079380445,7.93804453,,,,,
16-Feb-16,156.4,162.0227787,5059940,36571,981010,-0.064872945,-6.487294469,,,,,
17-Feb-16,159.15,156.1485998,4317886,36829,410997,0.01758312,1.75831202,,,,,
18-Feb-16,159.55,159.9230236,3245708,23442,517185,0.002513352,0.251335218,,,,,
19-Feb-16,164.65,163.014979,2675819,21683,551654,0.031964901,3.196490128,,,,,
22-Feb-16,164.95,165.1522905,1732629,16806,345664,0.001822047,0.182204677,,,,,
23-Feb-16,158.45,159.935683,3359454,20537,1649121,-0.039405881,-3.940588057,,,,,
24-Feb-16,156.7,158.2933708,2612373,21804,369117,-0.011044494,-1.104449353,,,,,
25-Feb-16,151.9,154.0912268,2781627,26020,890329,-0.03063178,-3.063178047,,,,,
26-Feb-16,156.25,155.7631671,2664596,24691,519720,0.028637261,2.863726136,,,,,
29-Feb-16,158.4,159.046286,9080674,72156,1021441,0.01376,1.376,,,,,
01-Mar-16,162.2,161.1766347,2941008,27580,527295,0.023989899,2.398989899,,,,,
02-Mar-16,180.85,177.8135113,7051639,58218,1623913,0.114981504,11.49815043,,,,,
03-Mar-16,182.5,181.3507991,3884782,32534,531084,0.009123583,0.912358308,,,,,
04-Mar-16,188.4,185.1478315,4418205,36358,663256,0.032328767,3.232876712,,,,,
08-Mar-16,183.65,184.2446656,3064239,32605,582672,-0.025212314,-2.521231423,,,,,
09-Mar-16,183.45,181.6449939,2757274,20896,353245,-0.001089028,-0.108902804,,,,,
10-Mar-16,180.65,181.6252031,2264920,15888,390656,-0.015263014,-1.526301445,,,,,
11-Mar-16,180.35,180.382986,2656995,18971,403859,-0.00166067,-0.16606698,,,,,
14-Mar-16,181.9,181.8855223,1627470,12206,354007,0.0085944,0.859439978,,,,,
15-Mar-16,185.25,184.6388843,2106123,16233,514301,0.018416712,1.841671248,,,,,
16-Mar-16,185.1,184.075155,1853901,14000,260725,-0.000809717,-0.08097166,,,,,
17-Mar-16,186.15,187.5999568,2004636,20417,404867,0.005672609,0.56726094,,,,,
18-Mar-16,191.05,188.9771227,2161579,18273,535896,0.026322858,2.632285791,,,,,
21-Mar-16,196.65,195.3276745,1890663,20604,489497,0.029311699,2.931169851,,,,,
22-Mar-16,197.4,196.410203,1983301,16043,332781,0.003813883,0.381388253,,,,,
23-Mar-16,196.8,196.4895841,1151510,10647,178767,-0.003039514,-0.303951368,,,,,
28-Mar-16,188.45,192.1396835,2165388,18824,671045,-0.042428862,-4.242886179,,,,,
29-Mar-16,189.5,189.5860037,1639587,13455,299903,0.00557177,0.55717697,,,,,
30-Mar-16,197.55,194.8584559,2149916,18022,467936,0.042480211,4.248021108,,,,,
31-Mar-16,194.3,195.9558685,2515892,24894,443053,-0.016451531,-1.645153126,,,,,
01-Apr-16,195.7,194.9638105,2072396,18337,295360,0.007205353,0.720535255,,,,,
04-Apr-16,195,195.1830292,1632477,14394,384521,-0.003576903,-0.357690342,,,,,
05-Apr-16,184.5,189.2306774,4328825,42377,1302158,-0.053846154,-5.384615385,,,,,
06-Apr-16,183.95,184.0999709,1778378,17536,337447,-0.00298103,-0.298102981,,,,,
07-Apr-16,182.1,183.2759292,1857411,18432,261610,-0.010057081,-1.005708073,,,,,
08-Apr-16,183.1,182.6621027,1546393,13944,294719,0.005491488,0.549148819,,,,,
11-Apr-16,188.15,185.4021392,2004726,16964,497665,0.027580557,2.758055707,,,,,
12-Apr-16,187.7,188.2868703,1402477,12390,225081,-0.002391709,-0.239170874,,,,,
13-Apr-16,191.75,192.1547769,1890928,16320,518348,0.021576985,2.157698455,,,,,
18-Apr-16,186.85,187.4566597,1276445,12911,379273,-0.025554107,-2.555410691,,,,,
20-Apr-16,187.3,186.6356961,1965713,19781,358032,0.002408349,0.240834894,,,,,
21-Apr-16,194.2,194.7799869,3115164,24971,729686,0.036839295,3.683929525,,,,,
22-Apr-16,199.9,198.5448289,4435130,33782,917135,0.029351184,2.935118435,,,,,
25-Apr-16,197.3,199.4815175,2266852,18743,412069,-0.013006503,-1.300650325,,,,,
26-Apr-16,200.85,198.7614535,2179231,20559,340926,0.017992904,1.799290421,,,,,
27-Apr-16,196.5,198.0231749,1603074,16082,369148,-0.021657954,-2.16579537,,,,,
28-Apr-16,192.15,193.9209141,2591182,18650,583717,-0.022137405,-2.213740458,,,,,
29-Apr-16,188.95,189.8649319,2639631,21800,545203,-0.016653656,-1.6653656,,,,,
02-May-16,186.4,186.997318,1384041,14564,347507,-0.013495634,-1.349563377,,,,,
03-May-16,184.2,186.5094915,1917761,18122,435171,-0.011802575,-1.180257511,,,,,
04-May-16,180.1,181.850018,2083677,20292,539650,-0.022258415,-2.225841477,,,,,
05-May-16,180.45,180.4632627,2396487,18272,376501,0.001943365,0.19433648,,,,,
06-May-16,184.4,183.0454344,2299426,19286,460696,0.02188972,2.188972014,,,,,
09-May-16,188.65,187.2343222,1469707,14207,398957,0.023047722,2.304772234,,,,,
10-May-16,189.3,188.8123684,1197693,11252,210576,0.003445534,0.344553406,,,,,
11-May-16,184.95,186.3734906,1420234,13094,383715,-0.022979398,-2.297939778,,,,,
12-May-16,188.4,187.2647512,2216583,15623,847415,0.01865369,1.865369019,,,,,
13-May-16,185,185.2812771,2424054,12635,1122227,-0.018046709,-1.804670913,,,,,
16-May-16,177.2,177.5031484,4356015,36019,1770099,-0.042162162,-4.216216216,0.028686652,-0.397757042,before merger news,183.4143208,
17-May-16,177.05,176.8587559,3425424,21239,1465127,-0.000846501,-0.084650113,0.028540312,-0.008030615,on the day of merger news,182.8984837,
18-May-16,180.2,178.5789615,2611488,21113,561680,0.017791584,1.77915843,0.028596472,0.255357274,before merger,245.8775621,
19-May-16,172.9,175.7061909,3330710,23001,1438997,-0.040510544,-4.051054384,0.028887652,0.09233352,after merger,292.6500992,
20-May-16,171.45,172.6543891,2496808,21811,872400,-0.00838635,-0.838635049,0.028689338,-0.141548028,after the pnb scam,276.4981592,
23-May-16,168.95,169.8636883,2468012,17885,961307,-0.014581511,-1.458151064,0.028720916,,,,
24-May-16,169.55,168.2426695,1700663,15131,420413,0.003551347,0.355134655,0.028644081,,,,
25-May-16,175.15,173.8812802,1698436,13518,586639,0.033028605,3.302860513,0.028796032,,,,
26-May-16,183.75,179.5273505,3110660,26023,844889,0.049100771,4.910077077,0.029276037,,,,
27-May-16,195.55,189.4881651,11408487,89515,2025809,0.064217687,6.421768707,0.029944113,,,,
30-May-16,198.65,198.6277264,4293641,43244,845695,0.015852723,1.585272309,0.029358975,,,,
31-May-16,204.85,201.5173992,4087878,31701,855726,0.031210672,3.121067204,0.029441801,,,,
01-Jun-16,197.9,202.6640368,4105938,39435,752540,-0.033927264,-3.392726385,0.029666557,,,,
02-Jun-16,200.55,199.105458,2657049,29673,306607,0.013390601,1.339060131,0.02915029,,,,
03-Jun-16,196.5,198.8341634,2884550,21765,678211,-0.020194465,-2.019446522,0.029223291,,,,
06-Jun-16,199.05,199.5228353,1953139,18960,266652,0.012977099,1.297709924,0.028824394,,,,
07-Jun-16,209.8,205.9060058,6382200,58804,1412557,0.054006531,5.400653102,0.029344002,,,,
08-Jun-16,210.4,210.2178551,2900015,26079,432231,0.002859867,0.285986654,0.029337835,,,,
09-Jun-16,210,210.5885232,2650120,22802,469360,-0.001901141,-0.190114068,0.029337743,,,,
10-Jun-16,206.2,208.2494541,2497938,21608,496405,-0.018095238,-1.80952381,0.029228505,,,,
13-Jun-16,202.2,201.7183486,1673001,14828,276273,-0.019398642,-1.93986421,0.028986451,,,,
14-Jun-16,207.55,206.1061108,1969658,16443,263121,0.026458952,2.645895153,0.0290014,,,,
15-Jun-16,215.65,213.8037911,5696454,43650,905325,0.039026741,3.902674054,0.02915053,,,,
16-Jun-16,215.7,215.7738951,5088435,38037,714761,0.000231857,0.023185718,0.029062115,,,,
17-Jun-16,213.4,214.7670431,2647601,21118,622993,-0.010662958,-1.066295781,0.028943967,,,,
20-Jun-16,215.8,213.8480041,2736791,22450,416306,0.011246485,1.124648547,0.028879686,,,,
21-Jun-16,213.9,215.4575449,1893257,13568,361189,-0.008804449,-0.880444856,0.028700049,,,,
22-Jun-16,212.8,213.4636144,1497501,12091,298925,-0.00514259,-0.514259,0.028182152,,,,
23-Jun-16,217.4,215.8852396,2164301,18887,604982,0.021616541,2.161654135,0.028013586,,,,
24-Jun-16,211.25,207.9295395,6277616,43677,1253234,-0.028288868,-2.828886845,0.028224938,,,,
27-Jun-16,217.1,216.4199951,3435350,23651,567663,0.027692308,2.769230769,0.027165585,,,,
28-Jun-16,216.3,216.8902343,1742439,14904,287993,-0.003684938,-0.368493782,0.026177057,,,,
29-Jun-16,217.2,217.5312084,1575472,12853,257506,0.004160888,0.416088766,0.026136447,,,,
30-Jun-16,218.65,220.0747679,2125658,18603,465541,0.006675875,0.667587477,0.026137785,,,,
01-Jul-16,219.65,219.9482078,1369667,10474,288917,0.004573519,0.457351932,0.025964008,,,,
04-Jul-16,222.85,223.1365507,1694016,13429,491729,0.014568632,1.456863191,0.025989392,,,,
05-Jul-16,223,223.5457808,1479156,13376,446265,0.000673098,0.06730985,0.02557771,,,,
07-Jul-16,220.5,222.4091819,1203631,11221,293186,-0.011210762,-1.121076233,0.02557884,,,,
08-Jul-16,218.4,218.1721589,1468887,11752,337276,-0.00952381,-0.952380952,0.025349382,,,,
11-Jul-16,224.6,223.6174511,1864141,15329,656361,0.028388278,2.838827839,0.02534669,,,,
12-Jul-16,226.45,225.9379129,1584372,12810,414673,0.008236866,0.823686554,0.025330263,,,,
13-Jul-16,227.2,226.8608175,2011848,16991,332203,0.003311989,0.33119894,0.025242618,,,,
14-Jul-16,231.75,230.6592448,2271813,24205,578899,0.020026408,2.002640845,0.022343118,,,,
15-Jul-16,231.5,232.467544,1457142,12037,304920,-0.001078749,-0.107874865,0.022337702,,,,
18-Jul-16,228.6,231.4562801,1644047,12638,444679,-0.012526998,-1.252699784,0.022172075,,,,
19-Jul-16,229.7,229.8446258,2947098,18229,984840,0.004811899,0.481189851,0.021974437,,,,
20-Jul-16,230.9,231.2384551,1885839,13435,639702,0.005224205,0.522420549,0.021972077,,,,
21-Jul-16,225.6,228.8635748,1360277,12720,342879,-0.02295366,-2.295365959,0.022058976,,,,
22-Jul-16,223.45,223.8010387,1820228,12795,686207,-0.009530142,-0.953014184,0.02209256,,,,
25-Jul-16,229.85,228.7177403,2884964,14680,1139993,0.028641754,2.864175431,0.022255446,,,,
26-Jul-16,226.5,229.2331146,1659171,14795,493197,-0.014574723,-1.457472265,0.022268411,,,,
27-Jul-16,228.65,228.5100546,2325398,14157,753346,0.009492274,0.949227373,0.022277755,,,,
28-Jul-16,230.95,232.4425532,3603185,20690,1543724,0.010059042,1.00590422,0.022289432,,,,
29-Jul-16,229.05,230.4014809,2651546,16121,1106237,-0.008226889,-0.822688894,0.022173377,,,,
01-Aug-16,227.45,228.572782,1512895,11764,386711,-0.006985374,-0.698537437,0.022003736,,,,
02-Aug-16,227.85,228.3891502,2601548,15063,1145991,0.001758628,0.175862827,0.022002756,,,,
03-Aug-16,226.55,228.0972157,3330171,13626,1397027,-0.005705508,-0.570550801,0.022011303,,,,
04-Aug-16,225.55,225.6575057,2299974,12173,978693,-0.004414037,-0.441403664,0.0215059,,,,
05-Aug-16,232.8,231.8840402,2098848,16398,710554,0.032143649,3.214364886,0.021735775,,,,
08-Aug-16,233.05,233.3664654,3492581,13613,1573155,0.001073883,0.107388316,0.021310295,,,,
09-Aug-16,234.6,234.7954448,6467422,29071,3099611,0.006650933,0.665093328,0.021222499,,,,
10-Aug-16,231.5,232.7581562,2864171,13708,1201471,-0.013213981,-1.321398124,0.021279617,,,,
11-Aug-16,226.95,227.7852671,2675375,12925,1054965,-0.019654428,-1.965442765,0.021396383,,,,
12-Aug-16,243.2,240.5693135,13529278,79636,4593414,0.071601674,7.160167438,0.021808265,,,,
16-Aug-16,246.45,245.1536634,2760169,19635,357023,0.013363487,1.336348684,0.021823236,,,,
17-Aug-16,246.25,246.5760843,1971354,14238,300876,-0.000811524,-0.081152364,0.021779812,,,,
18-Aug-16,248.2,248.766099,1964823,12087,453219,0.007918782,0.791878173,0.021783691,,,,
19-Aug-16,258.5,257.0311518,4802713,32141,1184056,0.041498791,4.14987913,0.022006221,,,,
22-Aug-16,254.95,256.8580793,2086475,15797,553655,-0.013733075,-1.373307544,0.022075282,,,,
23-Aug-16,254.6,253.2754631,1460722,13600,316048,-0.001372818,-0.13728182,0.02199781,,,,
24-Aug-16,254.65,254.6993618,1178370,9140,265215,0.000196386,0.019638649,0.021780571,,,,
25-Aug-16,250.05,252.6514873,1320124,10842,395691,-0.018064009,-1.806400942,0.021902305,,,,
26-Aug-16,246.7,247.9136886,1506070,11229,267598,-0.013397321,-1.339732054,0.021679177,,,,
29-Aug-16,248.75,245.6663053,2861529,10510,1855941,0.008309688,0.830968788,0.021501683,,,,
30-Aug-16,252.2,251.5036296,1080568,9191,243670,0.013869347,1.386934673,0.021467498,,,,
31-Aug-16,252.55,253.8150833,1464389,11658,333597,0.001387787,0.138778747,0.021407676,,,,
01-Sep-16,251.75,253.0488128,1111984,10373,274431,-0.00316769,-0.316768957,0.021256804,,,,
02-Sep-16,254.35,253.7139093,968151,8527,288789,0.010327706,1.032770606,0.021098353,,,,
06-Sep-16,259.45,258.6290573,3123299,19611,1536020,0.020051111,2.005111067,0.021061141,,,,
07-Sep-16,266.55,266.9860314,5797566,28369,2312354,0.027365581,2.736558104,0.021125415,,,,
08-Sep-16,267.95,268.383448,2851299,16135,1208197,0.005252298,0.525229788,0.021055432,,,,
09-Sep-16,264,264.9848982,2728756,13805,1392227,-0.014741556,-1.474155626,0.020962004,,,,
12-Sep-16,252.7,254.6638541,1692033,17295,652994,-0.04280303,-4.28030303,0.021552816,,,,
14-Sep-16,257.6,256.0889869,964097,8470,184707,0.019390582,1.939058172,0.021530884,,,,
15-Sep-16,255.8,255.3381387,2156707,10235,1094440,-0.006987578,-0.698757764,0.021464061,,,,
16-Sep-16,254.4,258.6527359,1941142,12223,715422,-0.005473026,-0.54730258,0.021485847,,,,
19-Sep-16,255.65,256.1635897,2773389,9783,1681275,0.004913522,0.491352201,0.021297044,,,,
20-Sep-16,254.25,254.6083738,2128453,8960,1214082,-0.005476237,-0.547623704,0.021260208,,,,
21-Sep-16,251.35,253.6250233,3219387,14344,2195995,-0.011406096,-1.140609636,0.021194946,,,,
22-Sep-16,257.35,256.3854545,3545874,18724,1947618,0.023871096,2.387109608,0.020722867,,,,
23-Sep-16,254.4,256.3742616,2274898,10060,1118561,-0.011462988,-1.146298815,0.020783941,,,,
26-Sep-16,251.65,253.3244389,2660045,9639,1952727,-0.010809748,-1.080974843,0.020793951,,,,
27-Sep-16,248.95,250.5929786,1840643,11040,943668,-0.010729187,-1.072918736,0.020303865,,,,
28-Sep-16,253.5,253.5770585,3346226,12732,1772674,0.018276762,1.82767624,0.020311181,,,,
29-Sep-16,247.15,249.161368,1968079,15921,587092,-0.02504931,-2.504930966,0.020453355,,,,
30-Sep-16,250.7,249.9099117,1417765,10621,305353,0.014363747,1.436374671,0.020479828,,,,
03-Oct-16,255.2,255.1397637,2078880,12087,1030751,0.017949741,1.794974073,0.020303658,,,,
04-Oct-16,259.25,257.4396007,5202146,23536,1833937,0.015869906,1.586990596,0.019771588,,,,
05-Oct-16,260.55,262.2745854,3191168,19519,1383272,0.005014465,0.50144648,0.018691225,,,,
06-Oct-16,256.85,259.1820466,1416758,10342,400339,-0.014200729,-1.420072923,0.01873513,,,,
07-Oct-16,258.25,257.0697377,3479926,15927,1664061,0.005450652,0.545065213,0.018492749,,,,
10-Oct-16,256,256.7424345,2377551,10348,1320440,-0.008712488,-0.87124879,0.018113354,,,,
13-Oct-16,249.7,249.776711,1557775,11343,507155,-0.024609375,-2.4609375,0.018313755,,,,
14-Oct-16,251.9,251.9810693,3474567,14501,1724454,0.008810573,0.881057269,0.018160409,,,,
17-Oct-16,253.1,253.8085596,3033994,15016,1347555,0.004763795,0.476379516,0.018129748,,,,
18-Oct-16,256.9,255.0663154,4550935,13879,2665897,0.015013829,1.501382853,0.017333445,,,,
19-Oct-16,254.8,255.4198238,4161624,12316,2201691,-0.008174387,-0.817438692,0.017369726,,,,
20-Oct-16,259.95,259.2278035,3227303,16134,1287807,0.020211931,2.021193093,0.017466814,,,,
21-Oct-16,258.4,257.4553616,1880556,8348,671403,-0.005962685,-0.596268513,0.017350817,,,,
24-Oct-16,262.85,262.5236119,4163083,14273,2547793,0.017221362,1.722136223,0.017255087,,,,
25-Oct-16,261.3,261.7420947,2362503,10081,1392960,-0.005896899,-0.589689937,0.017097425,,,,
26-Oct-16,259.05,260.9746286,1397639,10618,508241,-0.008610792,-0.861079219,0.016689127,,,,
27-Oct-16,255.05,255.4404523,2609234,12289,1477731,-0.015441035,-1.544103455,0.016792485,,,,
28-Oct-16,257.85,256.9482317,2277165,10260,1088204,0.01097824,1.097823956,0.016763367,,,,
30-Oct-16,257.85,258.2962915,306968,3690,100942,0,0,0.016737268,,,,
01-Nov-16,258.4,258.6563778,2395509,10980,1037003,0.002133023,0.213302308,0.016696104,,,,
02-Nov-16,251.3,252.1299615,1073249,9407,291571,-0.02747678,-2.747678019,0.016974194,,,,
03-Nov-16,245.65,248.7698327,1287155,12070,418710,-0.022483088,-2.248308794,0.01703893,,,,
04-Nov-16,242.85,243.3383771,1192300,10802,256499,-0.011398331,-1.139833096,0.016795515,,,,
07-Nov-16,252.7,250.5311448,1120508,10457,332690,0.040560016,4.056001647,0.01707482,,,,
08-Nov-16,252.6,251.3366447,758203,7188,209702,-0.000395726,-0.039572616,0.017066261,,,,
09-Nov-16,259.75,251.566307,4029745,32037,631466,0.028305622,2.830562154,0.017293211,,,,
10-Nov-16,281.6,278.2126758,5967067,52446,1504529,0.084119346,8.411934552,0.019349254,,,,
11-Nov-16,272.9,278.1125965,5886310,47654,804539,-0.030894886,-3.089488636,0.019679513,,,,
15-Nov-16,278.1,277.3987271,5272341,30962,2175110,0.019054599,1.905459875,0.019716148,,,,
16-Nov-16,277.15,278.7813501,2460911,20783,691839,-0.003416037,-0.34160374,0.019725642,,,,
17-Nov-16,277.65,279.2748967,3027795,21875,1004903,0.001804077,0.180407721,0.019669998,,,,
18-Nov-16,275.7,277.0172422,1886242,15938,522323,-0.007023231,-0.702323069,0.019654002,,,,
21-Nov-16,257.75,264.5454233,2569703,21241,608207,-0.065107,-6.510700036,0.020739913,,,,
22-Nov-16,257.4,256.457214,2450360,21976,345863,-0.001357905,-0.135790495,0.02073079,,,,
23-Nov-16,258.75,257.9271895,1559253,11409,239375,0.005244755,0.524475524,0.020733562,,,,
24-Nov-16,261.7,260.3648233,1900846,15643,380318,0.011400966,1.140096618,0.020666846,,,,
25-Nov-16,260.95,261.2464625,1791027,13110,407888,-0.002865877,-0.286587696,0.020670322,,,,
28-Nov-16,253.6,254.5587375,2096208,20610,505439,-0.028166315,-2.816631539,0.020857033,,,,
29-Nov-16,252.95,254.615088,1185549,10507,330008,-0.002563091,-0.256309148,0.020857892,,,,
30-Nov-16,258.4,256.4795305,1653267,11570,491255,0.02154576,2.154576003,0.020964296,,,,
01-Dec-16,255.75,256.915038,1453568,10786,380543,-0.010255418,-1.025541796,0.020838953,,,,
02-Dec-16,254.4,256.1167319,2128604,17524,318806,-0.005278592,-0.527859238,0.020817958,,,,
05-Dec-16,256.7,255.6888403,993911,8015,301606,0.009040881,0.90408805,0.020632237,,,,
06-Dec-16,259.15,258.691612,1242889,8382,360654,0.009544215,0.954421504,0.020577686,,,,
07-Dec-16,255.35,258.3589361,2725215,21692,582830,-0.014663322,-1.46633224,0.020633252,,,,
08-Dec-16,259.75,259.3196594,944646,7081,265930,0.017231251,1.723125122,0.020681208,,,,
09-Dec-16,266,264.3861699,2130847,14473,816321,0.024061598,2.406159769,0.020791011,,,,
12-Dec-16,263.4,266.3310282,1599873,11672,506713,-0.009774436,-0.977443609,0.020806641,,,,
13-Dec-16,265.5,264.1765924,988072,8921,216307,0.007972665,0.797266515,0.020816715,,,,
14-Dec-16,262.7,263.6853625,794810,8567,271657,-0.010546139,-1.054613936,0.020843203,,,,
15-Dec-16,265,264.9284294,1578399,15614,374754,0.008755234,0.875523411,0.020844776,,,,
16-Dec-16,264.75,264.6406725,813798,10196,258653,-0.000943396,-0.094339623,0.020595072,,,,
19-Dec-16,261.4,262.4650272,560178,5738,214744,-0.012653447,-1.265344665,0.020650791,,,,
20-Dec-16,254.55,255.9618088,1467511,13511,387291,-0.02620505,-2.620504973,0.020850365,,,,
21-Dec-16,255.15,255.9812764,801075,7665,158371,0.002357101,0.235710077,0.020793887,,,,
22-Dec-16,249.75,250.3936414,2080442,11844,1089394,-0.021164021,-2.116402116,0.020811786,,,,
23-Dec-16,249.25,249.9141467,889308,8392,193283,-0.002002002,-0.2002002,0.019400518,,,,
26-Dec-16,244.1,245.4200116,781838,8600,226477,-0.020661986,-2.066198596,0.019478472,,,,
27-Dec-16,248.7,245.7306264,878824,9306,183787,0.018844736,1.884473576,0.019579436,,,,
28-Dec-16,247.25,249.4160775,1331062,11962,372486,-0.005830318,-0.583031765,0.019572878,,,,
29-Dec-16,247.55,247.4196673,754686,7137,215362,0.001213347,0.121334681,0.019064893,,,,
30-Dec-16,249.75,250.6679349,1781491,21107,785890,0.008887094,0.888709352,0.019034632,,,,
02-Jan-17,243.6,244.8461462,2429618,26779,909379,-0.024624625,-2.462462462,0.019211695,,,,
03-Jan-17,244.85,244.4609824,1524646,14539,354956,0.005131363,0.513136289,0.019220306,,,,
04-Jan-17,242.9,243.9372691,1271447,11180,374398,-0.00796406,-0.796405963,0.019143649,,,,
05-Jan-17,245.45,245.1878622,1025688,9359,270312,0.010498147,1.049814739,0.019123238,,,,
06-Jan-17,245.95,247.1682384,1050117,9851,267654,0.002037075,0.203707476,0.019104272,,,,
09-Jan-17,247,247.0326541,594964,5835,163880,0.00426916,0.42691604,0.019052404,,,,
10-Jan-17,247.85,247.5519978,667028,7428,181300,0.003441296,0.344129555,0.019055415,,,,
11-Jan-17,251.9,251.1722736,2441459,14185,1057808,0.016340529,1.634052855,0.01913099,,,,
12-Jan-17,251.1,252.0291188,1755393,11373,800354,-0.003175863,-0.317586344,0.019103178,,,,
13-Jan-17,250.9,250.7637768,1635559,9310,637607,-0.000796495,-0.079649542,0.018982388,,,,
16-Jan-17,255.75,254.0796301,1147858,11309,354435,0.019330411,1.933041052,0.018868563,,,,
17-Jan-17,256.15,256.8320478,887020,8145,219092,0.001564027,0.156402737,0.018860302,,,,
18-Jan-17,257.6,257.6984673,761642,7495,235216,0.005660746,0.566074566,0.018807071,,,,
19-Jan-17,258.3,259.1625928,1557394,11985,664585,0.002717391,0.27173913,0.018243111,,,,
20-Jan-17,251,254.9000786,1536608,11162,626458,-0.028261711,-2.826171119,0.018378487,,,,
23-Jan-17,254.1,253.4047017,1141206,7711,510677,0.012350598,1.235059761,0.018410724,,,,
24-Jan-17,254.7,255.2323822,1280279,10284,623888,0.002361275,0.236127509,0.018402542,,,,
25-Jan-17,259.3,256.5029488,2082222,11950,1238652,0.018060463,1.806046329,0.018493513,,,,
27-Jan-17,266.5,264.7817624,2597953,20956,999678,0.027767065,2.776706518,0.018709415,,,,
30-Jan-17,263,264.9662591,1972593,13173,762213,-0.013133208,-1.313320826,0.018723006,,,,
31-Jan-17,260,261.0516518,1393891,8891,589801,-0.011406844,-1.140684411,0.01859951,,,,
01-Feb-17,270.3,267.3107893,4767253,27960,1612169,0.039615385,3.961538462,0.019016263,,,,
02-Feb-17,272.7,272.0731946,4939979,19815,3087740,0.008879023,0.887902331,0.018993482,,,,
03-Feb-17,277.4,276.1685393,3954087,15133,2112473,0.017235057,1.723505684,0.019027173,,,,
06-Feb-17,277.05,279.4351232,1742387,13552,497855,-0.001261716,-0.126171593,0.018942703,,,,
07-Feb-17,277.5,277.961323,2507178,10208,1305698,0.001624256,0.162425555,0.018732926,,,,
08-Feb-17,277.3,276.2923428,2999403,17557,1354916,-0.000720721,-0.072072072,0.018683159,,,,
09-Feb-17,275.85,275.3222847,1953369,10809,699507,-0.005228994,-0.522899387,0.018609912,,,,
10-Feb-17,276.25,279.5082111,5531109,32297,1932410,0.001450063,0.145006344,0.018542022,,,,
13-Feb-17,271.4,272.7772097,1535861,14571,384586,-0.017556561,-1.755656109,0.018638972,,,,
14-Feb-17,270.5,270.7938268,1834821,8041,1084595,-0.003316139,-0.331613854,0.018576165,,,,
15-Feb-17,268.65,269.3155682,1425318,9587,501413,-0.006839187,-0.683918669,0.018586512,,,,
16-Feb-17,270.4,271.3789459,3218188,15951,1509833,0.006514052,0.651405174,0.018569765,,,,
