Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
18-April-2018,249,250,245.4,246.25,247.598127,844431,5987,209079534,207857,24.62,4.6,-2.75
19-April-2018,247.9,248.2,245.2,246.25,246.6273247,706446,6021,174228887,186180,26.35,3,-1.65
20-April-2018,245.5,245.55,239.5,241.4,241.612136,1176085,14885,284156409,379499,32.27,6.05,-4.1
23-April-2018,242.5,244.85,239.25,242.7,243.0565397,2604328,8495,632998952,1622292,62.29,5.6,0.2
24-April-2018,242,243.5,239.5,240.6,241.2792756,636887,5059,153667634,184048,28.9,4,-1.4
25-April-2018,240.5,240.7,237,237.4,238.8703655,696728,6274,166427672,200968,28.84,3.7,-3.1
26-April-2018,238.1,238.75,232.6,233.35,235.2572678,851875,8398,200409785,355867,41.77,6.15,-4.75
27-April-2018,232,245.75,232,242.65,242.0087433,1733902,13744,419619444,392944,22.66,13.75,10.65
30-April-2018,245,249.5,244.8,246.3,246.9904245,961621,7457,237511179,147075,15.29,4.7,1.3
02-May-2018,246.4,246.4,239.75,240.65,242.1342545,638079,6516,154500783,187404,29.37,6.65,-5.75
03-May-2018,240.05,243.4,238.8,241.8,241.368478,741317,5097,178930556,122368,16.51,4.6,1.75
04-May-2018,243,243.85,240.65,241.95,242.0224968,1905471,5090,461166849,1368434,71.82,3.2,-1.05
