tweet,created
"RT @firstpost: .#StateBankofIndia says it has an #exposure of Rs 1,360 crore or $212 million #debt in the #PunjabNationalBank LoU fraud cas…",29-12-2017
"RT @firstpost: .#StateBankofIndia says it has an #exposure of Rs 1,360 crore or $212 million #debt in the #PunjabNationalBank LoU fraud cas…",11-01-2018
"RT @firstpost: .#StateBankofIndia says it has an #exposure of Rs 1,360 crore or $212 million #debt in the #PunjabNationalBank LoU fraud cas…",29-01-2018
"RT @firstpost: .#StateBankofIndia says it has an #exposure of Rs 1,360 crore or $212 million #debt in the #PunjabNationalBank LoU fraud cas…",24-01-2018
"RT @firstpost: .#StateBankofIndia says it has an #exposure of Rs 1,360 crore or $212 million #debt in the #PunjabNationalBank LoU fraud cas…",28-12-2017
"RT @firstpost: .#StateBankofIndia says it has an #exposure of Rs 1,360 crore or $212 million #debt in the #PunjabNationalBank LoU fraud cas…",25-12-2017
".#StateBankofIndia says it has an #exposure of Rs 1,360 crore or $212 million #debt in the #PunjabNationalBank LoU… https://t.co/TKmoO92YNw",04-01-2018
"Secure health by investing in a Medical Insurance Scheme and benefit from a tax deduction of up to Rs. 25,000/- Und… https://t.co/VPv8CBkqb1",03-01-2018
"Don't know what is happening with Banking system in India. #sbi #PMO #statebankofindia 
Forgot about billions, they… https://t.co/ArxL0uE5FD",06-12-2017
Hello I have 12 number addhar card and my online banking is asking 14 numbers wht to do help  #StateBankOfIndia,03-12-2017
4/5 #Review on #StateBankOfIndia by Hitesh1311 https://t.co/To2VlJOMPW,23-12-2017
"By 2030, #Blockchain can cease all traditional #banking #services, says #StateBankofIndia https://t.co/Y5y6NfSE9m",05-12-2017
"RT @NishantB11: Infectious energy at the #SBIGreenMarathon! Thousands of runners took over the streets of Bengaluru in the #marathon!😀😀. 
.…",28-12-2017
"@drbaliyan1 We represent SBI Credit Cards. For banking related queries/feedbacks, please contact State bank of Indi… https://t.co/gVGhXdgeEB",21-01-2018
"#AxisBank follows the trend, raises #MCLR by 10 basis points to 8.4%

https://t.co/zRSAJG62TP

#AadhaarBank… https://t.co/jbgg66rNz9",04-12-2017
Get a Quick Photo Debit Card of Rupay/Visa/Mastercard variant instantly from the Debit Card Printing Kiosks at your… https://t.co/tt5fFdeClD,27-01-2018
"RT @BWBusinessworld: #NiravModiCase: After #UnionBank's $300 million, #StateBankofIndia discloses $212-mn exposure through #PunjabNationalB…",20-01-2018
1/5 #Review on #StateBankOfIndia by safalagarwal https://t.co/Pyk08ze8zV,14-01-2018
3/5 #Review on #StateBankOfIndia by aar21098 https://t.co/mc1Ip7pKld,22-01-2018
"RT @RumiSikdar: Not to mention the #CGTMS scheme which is a bloody scam. whichever bank you talk about #StatebankofIndia, #PunjabNationalBa…",25-12-2017
"RT @LoveyouGujarat: 17504 Cases of #BankFraud Reported Between 2013 - 2017 : #RBI Data
#statebankofindia topped the list in the number of #…",03-12-2017
"RT @LoveyouGujarat: 17504 Cases of #BankFraud Reported Between 2013 - 2017 : #RBI Data
#statebankofindia topped the list in the number of #…",18-12-2017
