"","X.2","X.1","X","happy","pleased","disappointed","violated","grateful","info","commute","id","time","effort","consistency","willing","approachable","courteous","listen","honest","effort.1","neat","needs","service","satisfaction","expectation","before_merger","recommend","avail_service","open_again","negative","another_bank"
"82",82,82,82,2,2,4,4,2,4,2,2,2,2,4,4,4,4,2,4,4,1,4,1,1,1,1,1,1,1,5,5
"83",83,83,83,1,1,5,5,1,4,3,3,2,1,5,5,5,4,1,4,5,1,5,2,1,2,1,2,1,1,4,5
"84",84,84,84,2,2,4,4,2,4,3,4,1,1,4,5,4,5,4,5,4,3,4,1,2,1,1,1,2,1,4,4
"85",85,85,85,4,4,3,2,4,2,2,2,2,2,4,4,4,4,4,5,4,2,4,2,2,2,2,2,1,2,5,4
"86",86,86,86,5,4,1,1,3,2,1,1,4,5,2,1,2,1,1,3,2,2,2,4,5,5,5,4,4,4,1,1
"87",87,87,87,5,4,2,1,3,1,1,1,4,4,2,2,2,2,2,2,2,2,2,4,5,4,4,3,4,4,1,1
"88",88,88,88,2,2,5,4,2,4,2,3,1,2,5,4,5,4,2,4,4,2,5,2,2,1,2,1,1,1,5,5
"89",89,89,89,1,2,4,5,2,5,3,4,2,1,4,4,4,5,2,5,4,2,4,1,1,1,1,1,2,1,4,4
"90",90,90,90,4,5,2,2,3,4,1,4,2,2,4,4,4,4,2,4,4,1,4,2,2,1,1,2,1,1,4,5
"91",91,91,91,2,2,4,4,2,4,2,4,1,2,4,4,4,4,3,4,4,3,5,1,1,1,1,1,1,1,5,5
"92",92,92,92,4,4,2,2,4,2,2,4,4,4,2,2,2,2,2,2,2,2,2,4,5,4,4,3,4,3,2,2
"93",93,93,93,4,4,2,2,5,2,2,4,4,4,2,1,2,1,2,2,1,1,1,5,5,5,5,4,4,3,1,1
"94",94,94,94,4,4,2,2,5,2,2,4,2,2,4,4,5,4,3,4,4,2,4,2,2,1,1,1,2,1,1,1
"95",95,95,95,4,4,2,1,5,2,2,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,2,3,2,3,3
"96",96,96,96,4,4,2,3,3,2,3,4,2,4,4,2,2,2,2,2,2,2,2,4,4,4,4,3,3,3,4,4
"97",97,97,97,4,4,2,1,4,2,1,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,2,3,3
"98",98,98,98,2,2,3,4,4,2,2,5,4,4,2,2,1,2,2,3,2,2,2,4,4,4,4,3,3,2,4,4
"99",99,99,99,5,5,1,1,5,1,1,3,5,5,1,1,1,1,1,3,1,1,1,5,5,5,5,4,4,4,1,1
"100",100,100,100,3,3,3,3,3,3,1,3,1,1,4,5,5,5,2,5,5,2,5,1,1,1,1,1,1,1,5,5
"101",101,101,101,4,4,2,2,4,2,1,1,1,1,5,5,5,5,2,5,5,2,4,1,1,1,1,1,1,1,5,5
